"filename", "language", "JSON", "JSON with Comments", "TypeScript", "CSS", "TypeScript JSX", "XML", "Markdown", "JavaScript", "HTML", "comment", "blank", "total"
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\error\index.ts", "TypeScript", 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\frames\index.ts", "TypeScript", 0, 0, 23, 0, 0, 0, 0, 0, 0, 0, 3, 26
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\gameIcons\index.ts", "TypeScript", 0, 0, 132, 0, 0, 0, 0, 0, 0, 20, 20, 172
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\index.ts", "TypeScript", 0, 0, 30, 0, 0, 0, 0, 0, 0, 0, 2, 32
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\labels\index.ts", "TypeScript", 0, 0, 33, 0, 0, 0, 0, 0, 0, 1, 4, 38
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\maps\index.ts", "TypeScript", 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 2, 5
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\menus\index.ts", "TypeScript", 0, 0, 9, 0, 0, 0, 0, 0, 0, 2, 4, 15
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\modal_backgrounds\index.ts", "TypeScript", 0, 0, 50, 0, 0, 0, 0, 0, 0, 7, 9, 66
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\onMapAssets\index.ts", "TypeScript", 0, 0, 69, 0, 0, 0, 0, 0, 0, 9, 11, 89
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\quarries\index.ts", "TypeScript", 0, 0, 11, 0, 0, 0, 0, 0, 0, 1, 2, 14
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\townExpansion\index.ts", "TypeScript", 0, 0, 7, 0, 0, 0, 0, 0, 0, 0, 3, 10
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\imgs_new_convention\workers\index.ts", "TypeScript", 0, 0, 20, 0, 0, 0, 0, 0, 0, 1, 4, 25
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\assets\react.svg", "XML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 0, 1
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\classes\OLD\buildingClass.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 228, 32, 260
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\classes\OLD\card.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 124, 16, 140
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\classes\OLD\regClass.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 211, 32, 243
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\classes\OLD\spClass.ts", "TypeScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 144, 19, 163
"c:\Users\Jimzord12\Documents\GitHub\Card-Game-Isolated-Testing\card-game-isolated-testing\src\classes\buildingClass_V2.ts", "TypeScript", 0, 0, 222, 0, 0, 0, 0, 0, 0, 13, 32, 267
